name,source,gender,wikidata,type
"צמחי היהודים",csv,-,,way
צנובר,csv,-,,way
צפת,csv,-,,way
"קיבוץ גלויות",csv,-,,way
"ראש פינה",csv,-,,way
"ראשון לציון",csv,-,,way
ראשונים,csv,-,,way
"ראשית חכמה",csv,-,,way
"רחבת בית המכס",csv,-,,way
"רחבת הסינימטק",csv,-,,way
"רחבת הסינמטק",csv,-,,way
"שביל דרך הגבורה",csv,-,,way
"שביל האור",csv,-,,way
"שביל החלב",csv,-,,way
"שביל המרץ",csv,-,,way
"שביל עכו",csv,-,,way
שבלים,csv,-,,way
"שבעת השיקמים",csv,-,,way
"שדרות ההשכלה",csv,-,,way
"שדרות הותיקים",csv,-,,way
"שדרות הנביאים",csv,-,,way
"שדרות הציונות",csv,-,,way
"שדרות הר ציון",csv,-,,way
"שדרות השושנים",csv,-,,way
"שדרות ירושלים",csv,-,,way
"שדרות ששת הימים",csv,-,,way
"שדרות תרס""ט",csv,-,,way
שורשים,csv,-,,way
שיבולים,csv,-,,way
"שיבת ציון",csv,-,,way
"שלום אש",csv,-,,way
"שלושת החיצים",csv,-,,way
"שער הגיא",csv,-,,way
"שער ציון",csv,-,,way
"שערי תשובה",csv,-,,way
"שפע טל",csv,-,,way
"שפתי ישנים",csv,-,,way
שקד,csv,-,,way
שריד,csv,-,,way
שתולים,csv,-,,way
"תבואות הארץ",csv,-,,way
"תוצרת הארץ",csv,-,,way
תושיה,csv,-,,way
תות,csv,-,,way
תירוש,csv,-,,way
תמוז,csv,-,,way
תמנע,csv,-,,way
תפוח,csv,-,,way
"תש""ח",csv,-,,way
תשרי,csv,-,,way
תש״ח,csv,-,,way
אב,csv,?,,way
אפק,csv,?,,way
ב',csv,?,,way
"'דליה רביקוביץ",csv,F,,way
אביטל,csv,F,,way
"אדיל עאזר",csv,F,,way
אוז'שקובה,csv,F,,way
"אליזבת ברגנר",csv,F,,way
"אסתר המלכה",csv,F,,way
"בילויה מעוז",csv,F,,way
"בת שבע דה רוטשילד",csv,F,,way
"בת שבע כצנלסון",csv,F,,way
"בתיה (לישנסקי)",csv,F,,way
"גורית קדמן",csv,F,,way
"גז מטילדה",csv,F,,way
"גרטרוד קראוס",csv,F,,way
"דבורה הנביאה",csv,F,,way
דיצה,csv,F,,way
דפנה,csv,F,,way
"הנרייטה סולד",csv,F,,way
"זהרה לביטוב",csv,F,,way
"זהרירה חריפאי",csv,F,,way
"זלדה (שניאורסון מישקובסקי)",csv,F,,way
"חביבה רייך",csv,F,,way
חולדה,csv,F,,way
"חנה אורלוף",csv,F,,way
"חנה ומרדכי וייסר",csv,F,,way
"חנה זמר",csv,F,,way
"חנה מרון",csv,F,,way
"חנה סנש",csv,F,,way
"חנה רובינא",csv,F,,way
"טובה סנהדראי",csv,F,,way
"יוכבד בת מרים",csv,F,,way
"כיכר דיזנגוף (צינה)",csv,F,,way
"כיכר היובל ע""ש אביבה ואורספלבר",csv,F,,way
"כיכר חנה אבנור",csv,F,,way
לאה,csv,F,,way
"לאה ודוד איזמוז'יק",csv,F,,way
"לילי מנחם",csv,F,,way
"מרים החשמונאית",csv,F,,way
"נאדיה חילו",csv,F,,way
נורית,csv,F,,way
נחמה,csv,F,,way
"סמטה אלמונית",csv,F,,way
"סמטה פלונית",csv,F,,way
"סמטת שרה עזריהו",csv,F,,way
פועה,csv,F,,way
"פרופ' פנינה זלצמן",csv,F,,way
רבינא,csv,F,,way
"רבקה גובר",csv,F,,way
"רבקה ושמעון אבולעפיה",csv,F,,way
"רבקה זיו",csv,F,,way
רוחמה,csv,F,,way
רות,csv,F,,way
"רות רובין-פלד",csv,F,,way
רחל,csv,F,,way
"שדרות יהודית",csv,F,,way
שולמית,csv,F,,way
"שושנה דואר",csv,F,,way
"שושנה פרסיץ",csv,F,,way
"שלומציון המלכה",csv,F,,way
"שרירא גאון",csv,F,,way
"שתי האחיות",csv,F,,way
"תג'ר ציונה",csv,F,,way
"אבא אחימאיר",csv,M,,way
"אבא ברדיצ'ב",csv,M,,way
"אבא קובנר",csv,M,,way
אבודרהם,csv,M,,way
אבולעפיה,csv,M,,way
אבטליון,csv,M,,way
אביאסף,csv,M,,way
"אביגדור המאירי",csv,M,,way
"אבידן שמעון",csv,M,,way
אבימלך,csv,M,,way
"אביצור שמואל",csv,M,,way
אבישי,csv,M,,way
"אבן חלדון",csv,M,,way
"אבן סינא",csv,M,,way
"אבן ספיר",csv,M,,way
"אבן רשד",csv,M,,way
אבנר,csv,M,,way
אברבנאל,csv,M,,way
"אברהם אבן שושן",csv,M,,way
"אברהם בויאר",csv,M,,way
"אברהם ברוידס",csv,M,,way
"אברהם ענתבי",csv,M,,way
"אברהם שלונסקי",csv,M,,way
"אבשלום חביב",csv,M,,way
אגדתי,csv,M,,way
אגריפס,csv,M,,way
"אד קוץ'",csv,M,,way
"אדוארד ברנשטיין",csv,M,,way
"אדם ברוך",csv,M,,way
"אדם הכהן",csv,M,,way
אהוד,csv,M,,way
"אהלי יעקב",csv,M,,way
"אהרון בקר",csv,M,,way
"אהרון דוד גורדון",csv,M,,way
"אהרון מסקין",csv,M,,way
אהרונוביץ',csv,M,,way
"אהרן איתין",csv,M,,way
אוארבך,csv,M,,way
"אוהב ישראל",csv,M,,way
אוליפנט,csv,M,,way
אונטרמן,csv,M,,way
אונקלוס,csv,M,,way
"אוסוולדו ארניה",csv,M,,way
"אוסיפ מנדלשטס",csv,M,,way
אוסישקין,csv,M,,way
"אוסקר שינדלר",csv,M,,way
אופטושו,csv,M,,way
אופנהיימר,csv,M,,way
"אורי צבי גרינברג",csv,M,,way
"אורי קיסרי",csv,M,,way
"אוריאל אקוסטה",csv,M,,way
